date,clip,meeting,minutes_doc,status,items_logged,notes
2017-01-19,1474,Regular Board Meeting,a40d831b-e73d-11e6-8893-00219ba2f017,pending,,
2017-01-26,1479,Regular Board Meeting,6d3d8c10-b2d8-11e8-a2a6-0050569183fa,pending,,
2017-02-02,1480,Regular Board Meeting,da2974e3-eaaa-11e6-8893-00219ba2f017,pending,,
2017-02-09,1493,Regular Board Meeting,eb1e8a26-b2e5-11e8-a2a6-0050569183fa,pending,,
2017-02-16,1496,Regular Board Meeting,53e4ded6-0baf-11e7-8893-00219ba2f017,pending,,
2017-02-23,1498,Regular Board Meeting,d87ffbdb-18d6-11e7-8893-00219ba2f017,pending,,
2017-03-02,1500,Regular Board Meeting,5d075f9f-b5e2-11e8-a2a6-0050569183fa,pending,,
2017-03-09,1508,Regular Board Meeting,080a47e6-b5f5-11e8-a2a6-0050569183fa,pending,,
2017-03-16,1512,Regular Board Meeting,d0c47640-1342-11e7-8893-00219ba2f017,pending,,
2017-03-23,1515,Regular Board Meeting,6e6e881f-7996-11e8-a691-00505691de41,pending,,
2017-04-06,1530,Regular Board Meeting,e255c544-29ec-11e7-b9a7-00219ba2f017,pending,,
2017-04-13,1532,Regular Board Meeting,fd1c974a-2a14-11e7-b9a7-00219ba2f017,pending,,
2017-04-20,1536,Regular Board Meeting,54272d82-b063-11e8-a2a6-0050569183fa,pending,,
2017-04-26,1547,Budget Public Hearing A,b7810c69-b062-11e8-a2a6-0050569183fa,pending,,
2017-04-27,1542,Regular Board Meeting,5a96acff-2b7c-11e7-b9a7-00219ba2f017,pending,,
2017-05-03,1553,Public Budget Hearing B,051244f6-b063-11e8-a2a6-0050569183fa,pending,,
2017-05-04,1554,Regular Board Meeting,8ac9fefb-3b41-11e7-b9a7-00219ba2f017,pending,,
2017-05-10,1560,Budget Public Hearing C,c4f0becc-c29a-11e8-a2a6-0050569183fa,pending,,
2017-05-11,1558,Regular Board Meeting,d380f074-3a93-11e7-b9a7-00219ba2f017,pending,,
2017-05-18,1568,Regular Board Meeting,1cd9dda6-70e5-11e7-b9a7-00219ba2f017,pending,,
2017-05-25,1588,Regular Board Meeting,b0d1f248-6b1a-11e7-b9a7-00219ba2f017,pending,,
