date,item,seq,item_title,kind,motion,note,theme,area,url,Vega Pederson,Moyer,Singleton,Brim-Edwards,Jones-Dixon,Meieran,Kafoury,Smith,Jayapal,Beason,Rosenbaum,Stegmann
2026-02-26,R.3,1,Resolution Establishing Policies for the House Bill 4002 Deflection Program.,Amendment,"Vice Chair Jones-Dixon moved and Commissioner Singleton seconded approval of R. Commissioner Moyer moved to amend, Commission Brim-Edwards seconded. — The Amendment was adopted.",,Public Safety; Health & Social Services,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3390,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-02-26,R.3,2,Resolution Establishing Policies for the House Bill 4002 Deflection Program.,Amendment,"Commissioner Singleton moved to amend, Commissioner Brim-Edwards seconds. — The Amendment was adopted.",,Public Safety; Health & Social Services,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3390,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-02-26,R.3,3,Resolution Establishing Policies for the House Bill 4002 Deflection Program.,Amendment,"Commissioner Singleton moved to amend, Commissioner Brim-Edwards seconds. — The Amendment was adopted.",,Public Safety; Health & Social Services,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3390,Yea,Nay,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-02-26,R.3,4,Resolution Establishing Policies for the House Bill 4002 Deflection Program.,Amendment,"Chair Vega Pederson passes the gavel to Vice-Chair Jones-Dixon. Chair Vega Pederson moved to amend, Commissioner Brim-Edwards seconds. — The Amendment was adopted.",,Public Safety; Health & Social Services,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3390,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-02-26,R.3,5,Resolution Establishing Policies for the House Bill 4002 Deflection Program.,Amendment,"Commissioner Singleton moved to amend, Commissioner Brim-Edwards seconds. — The Amendment was adopted.",,Public Safety; Health & Social Services,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3390,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-04-09,R.3,1,Sanctuary County Resolution by Emergency.,Motion,"Commissioner Singleton moves, Commissioner Jones-Dixon seconds. — Vote recorded.",,Civil Rights & Equity; Government Operations,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3416,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-04-23,R.1,1,RESOLUTION Approving the Multnomah County Library District’s Proposed Fiscal Year 2027 Budget for Submittal to the Tax Supervising and Conservation Commission.,Amendment,"Commissioner Singleton moves and Commissioner Moyer seconds. Commissioner Moyer moves to propose an amendment, and Commissioner Brim-Edwards seconds. — The motion passes.",,FY Budget; Libraries,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3431,Absent,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-05-07,UC.1,1,BUDGET MODIFICATION #D2-001-26: Homeless Services Department Shelter Transition.,Motion,"Commissioner Singleton moves, Commissioner Moyer Seconds. — Vote recorded.",,Homelessness; Budget & Taxes,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3457,Yea,Yea,Yea,Nay,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-05-07,UC.1,2,BUDGET MODIFICATION #D2-001-26: Homeless Services Department Shelter Transition.,Amendment,The amendment was approved.,,Homelessness; Budget & Taxes,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3457,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-05-21,R.2,1,"First Reading of Ordinance Establishing Safe School Zones in Multnomah County, Oregon.",Amendment,"Commissioner Julia Brim-Edwards moves, Commissioner Moyer seconds. Commissioner Moyer moves to amend, Commissioner Brim-Edwards seconds. — The amendment passes.",,Public Safety,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3495,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
