date,item,outlet,headline,url,image
2017-07-27,R.1,Oregon Public Broadcasting,Multnomah County Likely To Pursue Lawsuit Against Opioid Makers,https://www.opb.org/news/article/multnomah-county-opioids-public-nuisance-lawsuit/,https://opb-opb-prod.cdn.arcpublishing.com/resizer/v2/SQGQKHDXTRBCXCX67GMLEQZDKA.jpg?auth=c7225c7ee4048571bb6469d76c984df07c6fdfb2b91aec192ae36492472efcd0&width=1200&height=675&smart=true
2017-09-13,S.1,Lake Oswego Review,Lake Oswego's Andrea Salinas will represent House District 38,https://www.lakeoswegoreview.com/news/lake-oswegos-andrea-salinas-will-represent-house-district-38/article_b9c31885-2ff0-5bf3-9b60-c1a4e3717121.html,
2017-11-09,R.5,Willamette Week,Multnomah County Commission Votes to Sell Never-Used Wapato Jail for $10.8 Million,https://www.wweek.com/news/courts/2017/11/09/multnomah-county-commission-votes-to-sell-never-used-wapato-jail-for-10-8-million/,https://www.wweek.com/resizer/v2/https%3A%2F%2Fs3.amazonaws.com%2Farc-wordpress-client-uploads%2Fwweek%2Fwp-content%2Fuploads%2F2017%2F03%2F16111704%2Fimage11_WapatoJail_WWStaff.jpg?smart=true&auth=46651360ee9ed17d3fc8d45322b012097a8082db99a2677eac066a8dcde59a60&width=1200&height=630
2017-11-29,S.1,Sandy Post,Hood River resident Jeff Helfrich appointed to House 52 seat,https://www.sandypost.com/news/hood-river-resident-jeff-helfrich-appointed-to-house-52-seat/article_00a3c833-c794-5428-9e84-50f15e547768.html,
2018-01-25,R.2,KATU,County commissioners approve homeless shelter in Foster-Powell neighborhood,https://katu.com/news/local/county-commissioners-set-to-vote-on-proposed-homeless-shelter-in-foster-powell-neighborhoo,https://katu.com/resources/media/c0a62261-275f-4a79-8320-084ff912ab74-jumbo16x9_6144SEFosterRdPhotofromKATUreporterKeatonThomas.jpg?1516894889584
2018-01-29,S.1,Lake Oswego Review,Lake Oswego's Rob Wagner picked to replace Devlin in state Senate,https://www.lakeoswegoreview.com/news/lake-oswegos-rob-wagner-picked-to-replace-devlin-in-state-senate/article_ce5a0228-c6aa-5fac-ab50-ea59a7d0a3d8.html,
2018-04-12,R.10,Portland Mercury,County Commission Votes to Sell Wapato Jail for $5 Million,https://www.portlandmercury.com/news/county-commission-votes-to-sell-wapato-jail-for-5-million-19812236/,https://i0.wp.com/www.portlandmercury.com/wp-content/uploads/2018/04/1523579715-wapato_jail_facility.jpg.jpg?fit=700%2C466&ssl=1
2018-04-19,R.3,KGW,Historic Multnomah County Courthouse up for sale,https://www.kgw.com/article/news/local/historic-multnomah-county-courthouse-up-for-sale/283-543070518,
2018-06-28,R.3,NW Labor Press,Multnomah County drops workload language in new ambulance contract,https://nwlaborpress.org/2018/07/multnomah-county-drops-workload-language-in-new-ambulance-contract/,
2018-06-28,R.5,Willamette Week,Relations Between Government and the Governed Reached a New Low When Multnomah County Commissioners Fired a Volunteer Panel,https://www.wweek.com/news/2019/01/30/relations-between-government-and-the-governed-reached-a-new-low-when-multnomah-county-commissioners-fired-a-volunteer-panel/,https://www.wweek.com/resizer/v2/https%3A%2F%2Fs3.amazonaws.com%2Farc-wordpress-client-uploads%2Fwweek%2Fwp-content%2Fuploads%2F2019%2F01%2F29165052%2Fnews_CIC2_MotoyaNakamura_MultCounty_4514.jpg?smart=true&auth=e08d231ebc294f6f7a5b167c25278788396aaea418a61a20fd1890d44d6374c5&width=1200&height=630
2018-07-12,R.2,KOIN 6,Multnomah County bans traveling animal circuses,https://www.koin.com/news/multnomah-county-bans-traveling-animal-circuses/,
2018-12-13,R.7,Portland Tribune,Citizen committee now under Multnomah County's sway,https://portlandtribune.com/2018/12/18/citizen-committee-now-under-multnomah-countys-sway/,https://portlandtribune.com/wp-content/uploads/sites/20/2025/07/3f8628e14853b63a1d3da5c532440367.jpg
2019-01-17,R.6,Willamette Week,Multnomah County Bought a Shell of a Building for a Portland Mental Health Center. Was It Suckered?,https://www.wweek.com/news/city/2019/05/15/multnomah-county-bought-a-shell-of-a-building-for-a-portland-mental-health-center-was-it-suckered/,https://www.wweek.com/resizer/v2/https%3A%2F%2Fs3.amazonaws.com%2Farc-wordpress-client-uploads%2Fwweek%2Fwp-content%2Fuploads%2F2019%2F05%2F14173022%2Fnews_333ParkStBuiding_WesleyLapointe_4529.jpg?smart=true&auth=f480fac9491ee778584c92ec3ecfd69ced49c97a45b0df86e6ecf400864dc4f0&width=1200&height=630
2019-06-06,R.7,Willamette Week,Commissioners Update Multnomah County Code With Gender Neutral Pronouns,https://www.wweek.com/news/2019/06/17/commissioners-update-multnomah-county-code-with-gender-neutral-pronouns/,https://www.wweek.com/resizer/v2/https%3A%2F%2Fs3.amazonaws.com%2Farc-wordpress-client-uploads%2Fwweek%2Fwp-content%2Fuploads%2F2019%2F06%2F17112639%2F48015962551_f06352f284_o.jpg?smart=true&auth=22284e1c6680026b90ba6745655b62ed475b6e5105cb28d156e10e2f73a5215e&width=1200&height=630
2019-10-10,R.2,Oregon Public Broadcasting,Multnomah County Passes Ordinance To Address Public Health At Food Cart Pods,https://www.opb.org/news/article/multnomah-county-food-cart-pods-health-safety-ordinance/,https://www.opb.org/pf/resources/images/opb/opb-default.jpg?d=217
2019-10-31,R.1,Oregon Public Broadcasting,Multnomah County Moves Forward To Hold Fossil Fuel Industries Accountable,https://www.opb.org/news/article/portland-multnomah-county-fossil-fuel-industries-willamette-river-damages-fees/,https://opb-opb-prod.cdn.arcpublishing.com/resizer/v2/PJPPVKCB6JDMBJ2SAARIQ47H4U.jpg?auth=e7c32b20475352dacd9a555c83341bf7ae647e795edb61a1b4602b99d503e723&width=1200&height=675&focal=1440%2C540
2019-12-05,R.1,KGW,Multnomah County to increase vehicle registration fees,https://www.kgw.com/article/news/local/multnomah-county-to-increase-vehicle-registration-fees/283-664b1fcc-6c0f-4560-b889-cf9e9f0161bc,
2020-01-09,R.3,Portland Tribune,Multnomah County OKs continued refugee resettlement,https://pamplinmedia.com/go/42-news/449544-366188-multnomah-county-oks-continued-refugee-resettlement,
