date,item,doc_number,document,title,synopsis,type,action,theme,area,minutes,url,Vega Pederson,Moyer,Singleton,Brim-Edwards,Jones-Dixon,Meieran,Kafoury,Smith,Jayapal,Beason,Rosenbaum,Stegmann
2024-01-04,R.2,1320,https://www.multco.us/file/ordinance_amending_multnomah_county%E2%80%99s_zoning_map_and_zoning_code_to_incorporate_amendments_to_the_city_of_portland%E2%80%99s_zoning_map_and_planning_and_zoning_code_implementing_the_city%E2%80%99s_floodplain_resilience_plan./download,Second Reading of Ordinance Amending Multnomah County’s Zoning Map and Zoning Code to Incorporate Amendments to the City of Portland’s Zoning Map and Planning and Zoning Code Implementing the City’s Floodplain Resilience Plan.,Second reading and adoption of an ordinance adding the City of Portland's Floodplain Resilience Plan zoning changes to the County's zoning map and code.,Ordinance,Adopted,Land Use & Planning; Environment & Energy,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2841&doc_id=c3e9e3f7-cc29-11ee-8fe8-0050569183fa,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2841,Yea,Not in office,Not in office,Yea,Not in office,Absent,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-01-18,R.1,1321,https://www.multco.us/file/ordinance_amending_mcc_chapter_11.500_%E2%80%93_preschool_for_all_personal_income_tax_to_reflect_certain_administrative_code_changes.-0/download,Second Reading of Ordinance Amending MCC Chapter 11.500 - Preschool For All Program Income Tax to Reflect Certain Administrative Code Changes.,Second reading and adoption of an ordinance amending the Preschool for All income tax (Code Chapter 11.500) to make administrative code changes.,Ordinance,Adopted,Early Childhood & Education; Budget & Taxes,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2847&doc_id=39ea32b2-b6f0-11ee-bb82-0050569183fa,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2847,Yea,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-01-18,R.2,1322,https://www.multco.us/file/ordinance_amending_mcc_chapter_12_%E2%80%93_business_income_tax.-2/download,Second Reading of Ordinance Amending MCC Chapter 12 - Business Income Tax to require certain tax returns be filed electronically.,Second reading and adoption of an ordinance amending the County business income tax (Code Chapter 12) to require certain tax returns to be filed electronically.,Ordinance,Adopted,Budget & Taxes,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2847&doc_id=39ea32b2-b6f0-11ee-bb82-0050569183fa,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2847,Yea,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-02-01,R.1,2024-005,https://www.multco.us/file/resolution_to_adopt_a_90-day_emergency_to_address_the_fentanyl_crisis./download,Resolution to Adopt a 90-Day Emergency to Address Fentanyl Crisis.,Declares a 90-day emergency to address the fentanyl crisis. An amendment failed 2–3 first (Commissioners Meieran and Brim-Edwards voting yes); the minutes' roll call on the resolution names no dissent.,Resolution,Adopted,Public Safety; Health & Social Services,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2852&doc_id=f4af2545-d005-11ee-8fe8-0050569183fa,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2852,Yea,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-02-22,R.1,1323,https://www.multco.us/file/ordinance_amending_multnomah_county%E2%80%99s_zoning_code_and_comprehensive_plan_to_incorporate_amendments_to_the_city_of_portland%E2%80%99s_title_33_city_code_and_comprehensive_plan_supporting_documents_related_to_the_city%E2%80%99s_housing_regulatory_relief%E2%80%A6/download,"Ordinance Amending Multnomah County’s Zoning Code and Comprehensive Plan to Incorporate Amendments to the City of Portland’s Title 33 City Code and Comprehensive Plan Supporting Documents Related to the City’s Housing Regulatory Relief Project, Housing Needs Analysis and Buildable Land Inventory and Declaring an Emergency.",Adds City of Portland Title 33 and comprehensive plan changes from the City's housing regulatory relief work to the County's zoning code and comprehensive plan.,Ordinance,Adopted,Land Use & Planning; Housing,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2863&doc_id=319e6360-d6db-11ee-98bb-0050569183fa,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2863,Yea,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-02-22,R.2,2024-010,https://www.multco.us/file/resolution_for_multnomah_county%E2%80%99s_agreement_with_the_city_of_portland_to_amend_property_tax_exemption_code_and_system_development_charges_for_affordable_housing_developments_code_to_temporarily_enable_homeownership_opportunities_for%E2%80%A6/download,Multnomah County’s Agreement with the City of Portland to Amend Property Tax Exemption Code and System Development Charges for Affordable Housing Developments Code to temporarily enable homeownership opportunities for households earning up to 120 percent of median family income.,"Approves the County's agreement with the City of Portland to amend the property tax exemption and system development charge codes for affordable housing, temporarily enabling homeownership opportunities for more households.",Other,Approved,Housing; Budget & Taxes,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2863&doc_id=319e6360-d6db-11ee-98bb-0050569183fa,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2863,Yea,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-02-22,R.3,2024-011,https://www.multco.us/file/resolution_for_multnomah_county%E2%80%99s_agreement_with_the_city_of_portland_to_amend_property_tax_exemption_for_multiple-unit_housing_development_code_and_inclusionary_housing_code_to_make_technical_corrections_and_adjust_the_property_tax%E2%80%A6/download,"Multnomah County’s Agreement with the City of Portland to Amend Property Tax Exemption for Multiple-Unit Housing Development Code and Inclusionary Housing Code to make technical corrections and adjust the property tax exemption for multiple-unit housing developments, suspending the foregone revenue cap until 1/1/2030.","Approves, as amended, the County's agreement with the City of Portland to amend the multiple-unit housing property tax exemption and inclusionary housing codes, with technical corrections and changes to the exemption. Passed 3–2 with Commissioners Meieran and Brim-Edwards voting no; the item was set aside and voted on later in the meeting.",Other,Approved as amended,Housing; Budget & Taxes,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2863&doc_id=319e6360-d6db-11ee-98bb-0050569183fa,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2863,Yea,Not in office,Not in office,Nay,Not in office,Nay,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-02-29,R.2,,,"BUDGET MODIFICATION # HD-011-24: Appropriate $167,086 from Contingency for Ambulance Service Plan Assessment.","Appropriates $167,086 from contingency for an assessment of the County's ambulance service plan. Commissioner Meieran voted no.",Budget modification,Approved,Health & Social Services; Public Safety,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2870&doc_id=cb6d0066-e88f-11ee-98bb-0050569183fa,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2870,Yea,Not in office,Not in office,Yea,Not in office,Nay,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-03-07,R.1,,,Resolution Expressing the Board of County Commissioners’ Concern for the Impacts of the War in Gaza and Calling for a Ceasefire.,Expresses the Board's concern about the impacts of the war in Gaza and calls for a ceasefire.,Resolution,Adopted,Civil Rights & Equity,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2876&doc_id=1006b437-e223-11ee-98bb-0050569183fa,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2876,Yea,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-03-14,R.1,,,Approval of 2024-2028 Workforce Equity Strategic Plan.,Approves the County's 2024–2028 Workforce Equity Strategic Plan.,Other,Approved,Civil Rights & Equity; Labor & Workforce,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2881&doc_id=04fb74e2-f1ea-11ee-b231-0050569183fa,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2881,Yea,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-04-11,R.4,2024-023,https://www.multco.us/file/resolution_approving_the_fac-1_project_plan_for_construction_of_the_montavilla_community_village_alternative_shelter_site./download,Resolution Approving the FAC-1 Project Plan for Construction of the Montavilla Community Village Alternative Shelter Site.,Approves the construction project plan for the Montavilla Community Village alternative shelter site under the County's FAC-1 procedure. Commissioner Meieran voted no.,Resolution,Approved,Homelessness,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2892&doc_id=a0133140-e8bb-11ef-a9e2-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2892,Yea,Not in office,Not in office,Yea,Not in office,Nay,Not in office,Not in office,Not in office,Absent,Not in office,Yea
2024-04-11,R.5,,,SUPPLEMENTAL BUDGET # SUPP03-DCA-001-24: Montavilla Community Village Alternative Shelter.,"Supplemental budget for the Montavilla Community Village alternative shelter, approved 3–1. Commissioner Meieran asked to put one more question after the vote was called and, when the Chair declined, voted no; Commissioner Brim-Edwards voted yes while objecting to that ruling. Commissioner Beason was excused.",Supplemental budget,Approved,Homelessness; Budget & Taxes,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2892&doc_id=a0133140-e8bb-11ef-a9e2-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2892,Yea,Not in office,Not in office,Yea,Not in office,Nay,Not in office,Not in office,Not in office,Absent,Not in office,Yea
2024-04-11,R.6,,,BUDGET MODIFICATION # DCA-012-24: Lease Appropriation Increase.,Increases a lease appropriation. Commissioner Meieran voted no.,Budget modification,Approved,Government Operations; Budget & Taxes,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2892&doc_id=a0133140-e8bb-11ef-a9e2-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2892,Yea,Not in office,Not in office,Yea,Not in office,Nay,Not in office,Not in office,Not in office,Absent,Not in office,Yea
2024-04-18,R.3,1324,https://www.multco.us/file/ordinance_amending_multnomah_county_code_chapter_11_-_revenue_and_taxation_by_removing_section_11.514%28b%29./download,Second Reading of Ordinance Amending Multnomah County Code Chapter 11 - Revenue and Taxation by removing Section 11.514(B).,Second reading and adoption of an ordinance removing Section 11.514(B) from County Code Chapter 11 (Revenue and Taxation).,Ordinance,Adopted,Budget & Taxes,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2897&doc_id=254ceeed-01a9-11ef-b231-0050569183fa,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2897,Yea,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-04-25,R.1,2024-030,https://www.multco.us/file/resolution_approving_the_chair%E2%80%99s_proposed_fiscal_year_2025_budget_for_submittal_to_the_tax_supervising_and_conservation_commission./download,RESOLUTION Approving the Chair’s Proposed Fiscal Year 2025 Budget for Submittal to the Tax Supervising and Conservation Commission.,"Approves Chair Vega Pederson's proposed fiscal year 2025 budget for submittal to the Tax Supervising and Conservation Commission, with the Board sitting as the Budget Committee. Commissioners Meieran and Brim-Edwards voted no.",Resolution,Adopted,FY Budget,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2903&doc_id=25b2134e-0ca1-11ef-b231-0050569183fa,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2903,Yea,Not in office,Not in office,Nay,Not in office,Nay,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-04-25,R.2,2024-031,https://www.multco.us/file/resolution_approving_the_multnomah_county_library_district%E2%80%99s_proposed_fiscal_year_2025_budget_for_submittal_to_the_tax_supervising_and_conservation_commission./download,RESOLUTION Approving the Multnomah County Library District’s Proposed Fiscal Year 2025 Budget for Submittal to the Tax Supervising and Conservation Commission.,Approves the Multnomah County Library District's proposed fiscal year 2025 budget for submittal to the Tax Supervising and Conservation Commission. Commissioners Meieran and Brim-Edwards voted no.,Resolution,Adopted,FY Budget; Libraries,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2903&doc_id=25b2134e-0ca1-11ef-b231-0050569183fa,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2903,Yea,Not in office,Not in office,Nay,Not in office,Nay,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-05-02,R.7,2024-034,https://www.multco.us/file/resolution_consenting_to_chair_vega_pederson%27s_appointment_of_denise_pe%C3%91a_as_the_director_of_the_department_of_community_justice./download,Resolution Consenting to Chair Vega Pederson’s Appointment of Denise Pena as the Director of the Department of Community Justice.,Consents to Chair Vega Pederson's appointment of Denise Pena as director of the Department of Community Justice.,Resolution,Adopted,Public Safety; Government Operations,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2909&doc_id=c342e28f-0b64-11ef-b231-0050569183fa,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2909,Yea,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-05-23,R.2,2024-037,https://www.multco.us/file/resolution_approving_the_library_capital_bond_program_east_county_library_fac-1_construction_plan_and_authorizing_the_county_chair_to_execute_a_guaranteed_maximum_price_amendment./download,Resolution Approving the Library Capital Bond Program East County Library FAC-1 Construction Plan and Authorizing the County Chair to Execute a Guaranteed Maximum Price Amendment.,Approves the Library Capital Bond Program's East County Library construction plan under the County's FAC-1 procedure and authorizes the Chair to sign a guaranteed maximum price amendment.,Resolution,Approved,Libraries,East Multnomah County,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2946&doc_id=f946c390-f472-11ef-ab6a-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2946,Yea,Not in office,Not in office,Yea,Not in office,Absent,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-05-30,R.2,,,BUDGET MODIFICATION # DCA-030-24: Future of Work Cash Transfer.,Budget modification transferring cash for the 'Future of Work' program. The minutes name only Commissioner Brim-Edwards's no vote; the other commissioners present are recorded as Yea.,Budget modification,Approved,Government Operations; Budget & Taxes,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2956&doc_id=6dcedf04-2297-11ef-81ef-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2956,Yea,Not in office,Not in office,Nay,Not in office,Yea,Not in office,Not in office,Not in office,Absent,Not in office,Yea
